Chr01	2845634	2849634
Chr01	2956990	2960990
Chr01	3002719	3006719
Chr01	3177590	3181590
Chr01	3556127	3560127
Chr01	3872747	3876747
Chr01	3928369	3932369
Chr01	4173913	4177913
Chr01	4432801	4436801
Chr01	9951205	9955205
Chr01	24152397	24156397
Chr01	24162144	24166144
Chr01	43445741	43449741
Chr03	2733497	2737497
Chr03	3279458	3283458
Chr03	3545188	3549188
Chr03	3595733	3599733
Chr03	3633747	3637747
Chr03	7433526	7437526
Chr03	7778958	7782958
Chr03	7835311	7839311
Chr03	8917118	8921118
Chr03	9839881	9843881
Chr03	9896604	9900604
Chr03	10035522	10039522
Chr03	10133273	10137273
Chr03	10746163	10750163
Chr03	10752551	10756551
Chr03	10993302	10997302
Chr03	11163893	11167893
Chr03	11807947	11811947
Chr03	12000178	12004178
Chr03	12088481	12092481
Chr03	12309867	12313867
Chr03	12596009	12600009
Chr03	13015638	13019638
Chr03	13023541	13027541
Chr03	13254268	13258268
Chr03	13284176	13288176
Chr03	13647119	13651119
Chr03	14133259	14137259
Chr03	14385470	14389470
Chr03	14543938	14547938
Chr03	14561109	14565109
Chr03	14596673	14600673
Chr03	14649118	14653118
Chr03	16063404	16067404
Chr03	16066265	16070265
Chr03	16709542	16713542
Chr03	17060229	17064229
Chr03	17314753	17318753
Chr03	18033375	18037375
Chr03	18621745	18625745
Chr03	18821496	18825496
Chr03	19554779	19558779
Chr03	19877527	19881527
Chr03	19947727	19951727
Chr03	19999339	20003339
Chr03	22013969	22017969
Chr03	22890957	22894957
Chr03	40528208	40532208
Chr03	51154511	51158511
Chr03	52968937	52972937
Chr03	53308012	53312012
Chr03	54993281	54997281
Chr03	55861052	55865052
Chr04	40261924	40265924
Chr04	42299972	42303972
Chr04	43614225	43618225
Chr04	44992590	44996590
Chr04	45023413	45027413
Chr04	45752779	45756779
Chr04	46203655	46207655
Chr04	46204435	46208435
Chr05	1639070	1643070
Chr05	1936160	1940160
Chr05	1980265	1984265
Chr05	2052128	2056128
Chr05	2592970	2596970
Chr05	3303115	3307115
Chr05	3542046	3546046
Chr05	3630074	3634074
Chr05	3906030	3910030
Chr05	4205237	4209237
Chr05	4257995	4261995
Chr05	4869904	4873904
Chr05	5167212	5171212
Chr05	5373901	5377901
Chr05	41331250	41335250
Chr05	48796877	48800877
Chr05	49033866	49037866
Chr05	50970650	50974650
Chr05	50970655	50974655
Chr05	51532129	51536129
Chr05	52014426	52018426
Chr05	52680471	52684471
Chr08	3993596	3997596
Chr08	4397811	4401811
Chr08	4410832	4414832
Chr08	5731590	5735590
Chr08	6547159	6551159
Chr08	7198346	7202346
Chr08	36106900	36110900
Chr08	36107280	36111280
Chr09	4368261	4372261
Chr09	4748448	4752448
Chr09	6344414	6348414
Chr09	6478408	6482408
Chr09	6481663	6485663
Chr09	6628217	6632217
Chr09	6827344	6831344
Chr09	6944276	6948276
Chr09	7484650	7488650
Chr09	7522705	7526705
Chr09	8767692	8771692
Chr09	55114837	55118837
Chr09	64309071	64313071
Chr09	64425265	64429265
Chr09	64667648	64671648
Chr09	65177847	65181847
Chr09	65680151	65684151
Chr09	66076146	66080146
Chr09	66569549	66573549
Chr09	66602070	66606070
Chr09	66771645	66775645
Chr09	67022820	67026820
Chr09	67116407	67120407
